127.0.0.1 - - [26/Oct/2023:15:25:45 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [26/Oct/2023:15:48:20 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 920
0:0:0:0:0:0:0:1 - - [26/Oct/2023:15:48:20 +0530] "GET /BookStoreWebsite/images/Kafka.png HTTP/1.1" 200 38249
0:0:0:0:0:0:0:1 - - [26/Oct/2023:15:48:20 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [26/Oct/2023:15:48:28 +0530] "GET /BookStoreWebsite/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Oct/2023:15:48:28 +0530] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 1285
0:0:0:0:0:0:0:1 - - [26/Oct/2023:15:48:28 +0530] "GET /BookStoreWebsite/images/Kafka2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Oct/2023:15:48:40 +0530] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 2205
0:0:0:0:0:0:0:1 - - [26/Oct/2023:15:48:42 +0530] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [26/Oct/2023:15:54:22 +0530] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [26/Oct/2023:15:54:54 +0530] "POST /BookStoreWebsite/admin/create_user HTTP/1.1" 200 2399
0:0:0:0:0:0:0:1 - - [26/Oct/2023:16:38:49 +0530] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [26/Oct/2023:16:39:49 +0530] "POST /BookStoreWebsite/admin/create_user HTTP/1.1" 200 2665
0:0:0:0:0:0:0:1 - - [26/Oct/2023:16:50:25 +0530] "POST /BookStoreWebsite/admin/create_user HTTP/1.1" 200 2891
0:0:0:0:0:0:0:1 - - [26/Oct/2023:16:50:30 +0530] "GET /BookStoreWebsite/admin/create_user HTTP/1.1" 405 751
0:0:0:0:0:0:0:1 - - [26/Oct/2023:16:52:49 +0530] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 2861
0:0:0:0:0:0:0:1 - - [26/Oct/2023:16:52:52 +0530] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [26/Oct/2023:16:53:27 +0530] "POST /BookStoreWebsite/admin/create_user HTTP/1.1" 200 3086
0:0:0:0:0:0:0:1 - - [26/Oct/2023:16:53:30 +0530] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 3056
0:0:0:0:0:0:0:1 - - [26/Oct/2023:17:02:37 +0530] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 3056
0:0:0:0:0:0:0:1 - - [26/Oct/2023:17:02:48 +0530] "GET /BookStoreWebsite/admin/user_form.jsp HTTP/1.1" 200 2173
0:0:0:0:0:0:0:1 - - [26/Oct/2023:17:04:00 +0530] "POST /BookStoreWebsite/admin/create_user HTTP/1.1" 200 3283
0:0:0:0:0:0:0:1 - - [26/Oct/2023:17:04:09 +0530] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 3253
