127.0.0.1 - - [24/Nov/2023:19:57:41 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [24/Nov/2023:19:57:46 +0530] "GET /BookStoreWebsite/admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Nov/2023:19:57:47 +0530] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 1285
0:0:0:0:0:0:0:1 - - [24/Nov/2023:19:57:47 +0530] "GET /BookStoreWebsite/images/Kafka2.png HTTP/1.1" 200 10272
0:0:0:0:0:0:0:1 - - [24/Nov/2023:19:57:47 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [24/Nov/2023:19:58:11 +0530] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 3841
0:0:0:0:0:0:0:1 - - [24/Nov/2023:20:01:05 +0530] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 1285
0:0:0:0:0:0:0:1 - - [24/Nov/2023:20:01:24 +0530] "GET /BookStoreWebsite/admin/list_users HTTP/1.1" 200 3841
0:0:0:0:0:0:0:1 - - [24/Nov/2023:20:01:29 +0530] "GET /BookStoreWebsite/admin/edit_user?id=19 HTTP/1.1" 200 2197
0:0:0:0:0:0:0:1 - - [24/Nov/2023:20:02:03 +0530] "GET /BookStoreWebsite/admin/edit_user?id=19 HTTP/1.1" 200 2213
0:0:0:0:0:0:0:1 - - [24/Nov/2023:20:02:52 +0530] "GET /BookStoreWebsite/admin/edit_user?id=19 HTTP/1.1" 200 2227
0:0:0:0:0:0:0:1 - - [24/Nov/2023:20:05:11 +0530] "GET /BookStoreWebsite/admin/edit_user?id=24 HTTP/1.1" 200 2223
0:0:0:0:0:0:0:1 - - [24/Nov/2023:20:05:31 +0530] "GET /BookStoreWebsite/admin/edit_user?id=24 HTTP/1.1" 200 2217
0:0:0:0:0:0:0:1 - - [24/Nov/2023:20:09:11 +0530] "GET /BookStoreWebsite/admin/edit_user?id=24 HTTP/1.1" 200 2311
0:0:0:0:0:0:0:1 - - [24/Nov/2023:20:09:28 +0530] "GET /BookStoreWebsite/admin/edit_user?id=24 HTTP/1.1" 200 2285
